year,title,author,price,Shortlist/Longlist/Winner,ISBN-10,date,ISBN-13
2009,Olive Kitteridge,Elizabeth Strout,Pulitzer Prize for Fiction,Winner,140006208X,4/20/2009,9781400062089
2010,Tinkers,Paul Harding,Pulitzer Prize for Fiction,Winner,1446455998,4/12/2010,9781446455999
2011,A Visit from the Goon Squad,Jennifer Egan,Pulitzer Prize for Fiction,Winner,0231545401,4/18/2011,9780231545402
2013,The Orphan Master's Son,Adam Johnson,Pulitzer Prize for Fiction,Winner,0231557450,4/15/2013,9780231557450
2014,The Goldfinch,Donna Tartt,Pulitzer Prize for Fiction,Winner,3656925348,4/14/2014,9783656925347
2015,All the Light We Cannot See,Anthony Doerr,Pulitzer Prize for Fiction,Winner,1476746583,4/20/2015,9781476746586
2016,The Sympathizer,Viet Thanh Nguyen,Pulitzer Prize for Fiction,Winner,,4/18/2016,9798216050117
2017,The Underground Railroad,Colson Whitehead,Pulitzer Prize for Fiction,Winner,1410392880,4/10/2017,9781410392886
2018,Less,Andrew Sean Greer,Pulitzer Prize for Fiction,Winner,0349143609,4/16/2018,9780349143606
2019,The Overstory,Richard Powers,Pulitzer Prize for Fiction,Winner,180495179X,4/15/2019,9781804951798
2020,The Nickel Boys,Colson Whitehead,Pulitzer Prize for Fiction,Winner,,5/4/2020,
2021,The Night Watchman,Louise Erdrich,Pulitzer Prize for Fiction,Winner,1472155335,6/11/2021,9781472155337
2022,The Netanyahus,Joshua Cohen,Pulitzer Prize for Fiction,Winner,1681376083,5/9/2022,9781681376080
2023,Demon Copperhead,Barbara Kingsolver,Pulitzer Prize for Fiction,Winner,,5/10/2023,
,,,,,,,
2009,Let the Great World Spin,Colum McCann,National Book Award,Winner,1588368734,10/8/2009,9781588368737
2009,A Gate at the Stairs,Lorrie Moore,National Book Award,Shortlist,0307273210,10/8/2009,9780307273215
2009,The Story of Edgar Sawtelle,David Wroblewski,National Book Award,Shortlist,0061792594,10/8/2009,9780061792595
2009,The Lacuna,Barbara Kingsolver,National Book Award,Shortlist,0061959677,10/8/2009,9780061959677
2010,Shine Shine Shine,Lydia Netzer,National Book Award,Winner,1250015073,10/12/2010,9781250015075
2010,The Surrendered,Chang-Rae Lee,National Book Award,Shortlist,0748116230,10/12/2010,9780748116232
2010,The Particular Sadness of Lemon Cake,Aimee Bender,National Book Award,Shortlist,1446457109,10/12/2010,9781446457108
2010,Great House,Nicole Krauss,National Book Award,Shortlist,3110525518,10/12/2010,9783110525519
2011,The Sense of an Ending,Julian Barnes,National Book Award,Winner,1446467627,10/18/2011,9781446467626
2011,The Night Circus,Erin Morgenstern,National Book Award,Shortlist,1498925405,10/18/2011,9781498925402
2011,1Q84,Haruki Murakami,National Book Award,Shortlist,1350270555,10/18/2011,9781350270558
2011,The Submission,Amy Waldman,National Book Award,Shortlist,1501313215,10/18/2011,9781501313219
2012,This Is How You Lose Her,Junot Díaz,National Book Award,Winner,1101596953,10/16/2012,9781101596951
2012,The Round House,Louise Erdrich,National Book Award,Shortlist,1498935451,10/16/2012,9781498935456
2012,The Big Rock Candy Mountain,Wallace Stegner,National Book Award,Shortlist,1496236173,10/16/2012,9781496236173
2013,The Goldfinch,Donna Tartt,National Book Award,Winner,3656925348,10/15/2013,9783656925347
2013,The Lowland,Jhumpa Lahiri,National Book Award,Shortlist,1408844559,10/15/2013,9781408844557
2013,The Light Between Oceans,M.L. Stedman,National Book Award,Shortlist,1476738084,10/15/2013,9781476738086
2014,Redeployment,Phil Klay,National Book Award,Winner,0857864254,10/14/2014,9780857864253
2014,All the Light We Cannot See,Anthony Doerr,National Book Award,Shortlist,1476746583,10/14/2014,9781476746586
2014,Lila,Marilynne Robinson,National Book Award,Shortlist,1350106976,10/14/2014,9781350106970
2015,Between the World and Me,Ta-Nehisi Coates,National Book Award,Winner,0679645985,10/13/2015,9780679645986
2015,The Turner House,Angela Flournoy,National Book Award,Shortlist,0544303164,10/13/2015,9780544303164
2015,The Book of Unknown Americans,Cristina Henríquez,National Book Award,Shortlist,0385350856,10/13/2015,9780385350853
2016,The Underground Railroad,Colson Whitehead,National Book Award,Winner,1410392880,10/13/2015,9781410392886
2016,The Nix,Nathan Hill,National Book Award,Shortlist,342343418X,10/25/2016,9783423434188
2016,Sweetbitter,Stephanie Danler,National Book Award,Shortlist,110187595X,10/25/2016,9781101875957
2017,The Underground Railroad,Colson Whitehead,National Book Award,Winner,1410392880,10/17/2017,9781410392886
2017,The Black Prism,Brandon Sanderson,National Book Award,Shortlist,152412270X,10/17/2017,9781524122706
2017,The Song of Achilles,Madeline Miller,National Book Award,Shortlist,1408826135,10/17/2017,9781408826133
2018,The Poet X,Elizabeth Acevedo,National Book Award,Winner,,10/16/2018,
2018,Educated,Tara Westover,National Book Award,Shortlist,,10/16/2018,
2018,The Immortalists,Chloe Benjamin,National Book Award,Shortlist,1472245016,10/16/2018,9781472245014
2019,The Nickel Boys,Colson Whitehead,National Book Award,Winner,,10/14/2019,
2019,The Water Dancer,Ta-Nehisi Coates,National Book Award,Shortlist,0399590609,10/14/2019,9780399590603
2019,The Chain,Adrian McKinty,National Book Award,Shortlist,0316531243,10/14/2019,9780316531245
2020,The Vanishing Half,Brit Bennett,National Book Award,Winner,,11/19/2020,
2020,Leave the World Behind,Rumaan Alam,National Book Award,Shortlist,,11/19/2020,
2020,Mexican Gothic,Silvia Moreno-Garcia,National Book Award,Shortlist,0525620796,11/19/2020,9780525620792
2021,The Sentence,Louise Erdrich,National Book Award,Winner,1472156986,11/3/2021,9781472156983
2021,Klara and the Sun,Kazuo Ishiguro,National Book Award,Shortlist,0571364918,11/3/2021,9780571364916
2021,The Lincoln Highway,Amor Towles,National Book Award,Shortlist,,11/3/2021,
2022,The Candy House,Jennifer Egan,National Book Award,Winner,1476716781,11/23/2022,9781476716787
2022,To Paradise,Hanya Yanagihara,National Book Award,Shortlist,0385547943,11/23/2022,9780385547949
2022,The Measure,Nikki Erlick,National Book Award,Shortlist,0593654234,11/23/2022,9780593654231
2023,The Unseen World,Liz Moore,National Book Award,Winner,0393245004,10/24/2023,9780393245004
2023,The Invisible Man,Ralph Ellison,National Book Award,Shortlist,1504043723,10/24/2023,9781504043724
,,,,,,,
2009,The Graveyard Book,Neil Gaiman,Hugo Award,Winner,0061972657,8/10/2009,9780061972652
2009,Little Brother,Cory Doctorow,Hugo Award,Shortlist,1473231930,8/10/2009,9781473231931
2009,Anathem,Neal Stephenson,Hugo Award,Shortlist,0857890484,8/10/2009,9780857890481
2009,Saturn’s Children,Charles Stross,Hugo Award,Shortlist,144063484X,8/10/2009,9781440634840
2009,Zoe’s Tale,John Scalzi,Hugo Award,Shortlist,1429931078,8/10/2009,9781429931076
2010,The City & The City,China Miéville,Hugo Award,Winner,0615771793,9/5/2010,9780615771793
2010,The Windup Girl,Paolo Bacigalupi,Hugo Award,Winner,1473219817,9/5/2010,9781473219816
2010,Boneshaker,Cherie Priest,Hugo Award,Shortlist,1429942495,9/5/2010,9781429942492
2010,Wake,Robert J. Sawyer,Hugo Award,Shortlist,0575094982,9/5/2010,9780575094987
2010,Julian Comstock: A Story of 22nd-Century America,Robert Charles Wilson,Hugo Award,Shortlist,0575117524,9/5/2010,9780575117525
2010,Palimpsest,Catherynne M. Valente,Hugo Award,Shortlist,0553906291,9/5/2010,9780553906295
2011,Blackout/All Clear,Connie Willis,Hugo Award,Winner,0575099291,8/20/2011,9780575099296
2011,Feed,Mira Grant,Hugo Award,Shortlist,0748116877,8/20/2011,9780748116874
2011,Cryoburn,Lois McMaster Bujold,Hugo Award,Shortlist,,8/20/2011,
2011,The Hundred Thousand Kingdoms,N.K. Jemisin,Hugo Award,Shortlist,0748115900,8/20/2011,9780748115907
2011,The Dervish House,Ian McDonald,Hugo Award,Shortlist,0575089040,8/20/2011,9780575089044
2012,Among Others,Jo Walton,Hugo Award,Winner,1472100441,9/2/2012,9781472100443
2012,Embassytown,China Miéville,Hugo Award,Shortlist,1780240295,9/2/2012,9781780240299
2012,Leviathan Wakes,James S. A. Corey,Hugo Award,Shortlist,0748122966,9/2/2012,9780748122967
2012,Deadline,Mira Grant,Hugo Award,Shortlist,0748116877,9/2/2012,9780748116874
2012,A Dance With Dragons,George R. R. Martin,Hugo Award,Shortlist,0553905651,9/2/2012,9780553905656
2013,Redshirts: A Novel with Three Codas,John Scalzi,Hugo Award,Winner,1429963603,9/1/2013,9781429963602
2013,Captain Vorpatril’s Alliance,Lois McMaster Bujold,Hugo Award,Shortlist,,9/1/2013,
2013,2312,Kim Stanley Robinson,Hugo Award,Shortlist,0316192805,9/1/2013,9780316192804
2013,Throne of the Crescent Moon,Saladin Ahmed,Hugo Award,Shortlist,0575132949,9/1/2013,9780575132948
2013,Blackout,Mira Grant,Hugo Award,Shortlist,0748116885,9/1/2013,9780748116881
2014,Ancillary Justice,Ann Leckie,Hugo Award,Winner,3031182618,8/17/2014,9783031182617
2014,Neptune’s Brood,Charles Stross,Hugo Award,Shortlist,1101624531,8/17/2014,9781101624531
2014,Parasite,Mira Grant,Hugo Award,Shortlist,1405518685,8/17/2014,9781405518680
2014,The Wheel of Time,"Robert Jordan, Brandon Sanderson",Hugo Award,Shortlist,0356519627,8/17/2014,9780356519623
2014,"Warbound, Book III of the Grimnoir Chronicles",Larry Correia,Hugo Award,Shortlist,1625791550,8/17/2014,9781625791559
2015,The Three Body Problem,"Cixin Liu, Ken Liu (Übersetzer)",Hugo Award,Winner,076539748X,8/22/2015,9780765397485
2015,The Goblin Emperor,Katherine Addison,Hugo Award,Shortlist,1429946407,8/22/2015,9781429946407
2015,Ancillary Sword,Ann Leckie,Hugo Award,Shortlist,1405525851,8/22/2015,9781405525855
2015,Skin Game,Jim Butcher,Hugo Award,Shortlist,0698157893,8/22/2015,9780698157897
2015,The Dark Between the Stars,Kevin J. Anderson,Hugo Award,Shortlist,1849836795,8/22/2015,9781849836791
2016,The Fifth Season,N.K. Jemisin,Hugo Award,Winner,0316324973,8/20/2016,9780316324977
2016,Uprooted,Naomi Novik,Hugo Award,Shortlist,0804179042,8/20/2016,9780804179041
2016,Ancillary Mercy,Ann Leckie,Hugo Award,Shortlist,140552586X,8/20/2016,9781405525862
2016,Seveneves: A Novel,Neal Stephenson,Hugo Award,Shortlist,,8/20/2016,
2016,The Cinder Spires: The Aeronaut’s Windlass,Jim Butcher,Hugo Award,Shortlist,0451466802,8/20/2016,9780451466808
2017,The Obelisk Gate,N.K. Jemisin,Hugo Award,Winner,1666910465,8/11/2017,9781666910469
2017,All the Birds in the Sky,Charlie Jane Anders,Hugo Award,Shortlist,,8/11/2017,9798216182757
